pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.7183036695231817,0.9913757700205339,0.020704344650339063,-0.14591006765122935,-0.8466532409052272,74,
10,0.4896414342629482,0.9913757700205339,0.025274872214953566,0.26099592753370515,0.9729172184761139,17,
11,0.27586206896551724,0.8612947344426715,0.035883799352297144,0.2775568793028627,1.1567998575534064,24,
2,0.06940575673166202,0.7634633240482822,0.08224735492702659,-0.21049236131348764,-1.3457866416890574,118,
3,0.1750996015936255,0.8612947344426715,0.04648767296280473,0.34471897606131496,1.2850124923968291,17,
4,0.31319808525188053,0.8612947344426715,0.03615590510864243,-0.17395899517670235,-1.0878251951391973,104,
5,0.7257093723129837,0.9913757700205339,0.020210988953326518,-0.14931174412777748,-0.8392653117048251,64,
6,0.955822550831793,0.9913757700205339,0.013943473473523892,0.11183922834058721,0.6212046698417596,72,
7,0.9913757700205339,0.9913757700205339,0.01493391855571175,-0.10091393446267233,-0.46201812283245913,31,
8,0.9076239091058784,0.9913757700205339,0.013019777953153603,0.1122699459916004,0.7584705467464411,221,
9,0.9153623188405797,0.9913757700205339,0.015208726499038079,0.138315836128808,0.6364006608220062,33,
